,cocktail_id,alc,sweet,sour,bitter,sparking
0,0,0,0,0,0,0
1,1,30,3,4,2,0
2,2,11,3,0,2,0
3,3,32,4,4,4,0
4,4,5,3,0,1,4
5,5,24,2,3,3,0
6,6,30,4,3,1,0
7,7,9,5,2,0,0
8,8,28,3,2,1,0
9,9,13,5,0,0,0
10,10,21,4,3,2,0
11,11,30,1,1,4,0
12,12,35,1,4,4,0
13,13,23,4,0,3,0
14,14,37,2,0,4,0
15,15,27,3,3,2,0
16,16,15,4,2,0,0
17,17,0,5,2,0,0
18,18,9,4,2,0,0
19,19,16,5,0,0,0
20,20,20,2,3,2,0
21,21,10,4,5,0,0
22,22,32,3,5,3,0
23,23,37,1,3,5,0
24,24,5,5,0,2,0
25,25,28,2,0,4,0
26,26,27,3,3,3,0
27,27,34,2,3,4,0
28,28,15,3,2,0,3
29,29,4,0,0,3,3
30,30,22,2,5,3,1
31,31,14,5,2,1,0
32,32,15,4,4,2,5
33,33,10,5,2,0,2
34,34,35,3,1,2,0
35,35,40,1,1,4,0
36,36,16,4,3,0,2
37,37,3,3,1,3,2
38,38,21,3,5,2,0
39,39,6,5,2,0,0
40,40,29,3,0,2,4
41,41,17,2,3,2,0
42,42,30,3,3,2,0
43,43,37,0,0,5,0
44,44,20,4,3,0,0
45,45,33,2,1,3,0
46,46,19,2,0,4,0
47,47,14,3,3,3,3
48,48,25,3,2,1,0
49,49,19,3,1,0,4
50,50,0,2,5,0,4
51,51,14,5,4,0,3
52,52,4,2,4,2,0
53,53,40,1,0,5,0
54,54,45,2,0,3,0
55,55,12,4,2,0,0
56,56,15,3,3,0,2
57,57,33,5,1,2,0
58,58,13,4,2,1,0
59,59,0,3,4,0,0
60,60,4,1,0,2,4
61,61,5,5,0,0,0
62,62,30,4,0,0,0
63,63,31,3,2,2,0
64,64,32,2,1,4,0
65,65,24,4,2,2,0
66,66,37,3,4,3,0
67,67,15,4,2,2,0
68,68,33,4,0,3,0
69,69,10,1,0,4,2
70,70,13,2,2,2,0
71,71,10,4,2,0,4
72,72,20,4,2,0,0
73,73,5,4,3,0,4
74,74,15,2,4,2,0
75,75,40,4,3,3,0
76,76,22,4,5,2,0
77,77,19,2,0,5,0
78,78,4,1,0,3,2
79,79,0,3,5,0,0
80,80,22,3,2,1,5
81,81,14,5,3,0,0
82,82,0,4,1,0,5
83,83,10,0,0,4,3
84,84,15,2,4,1,0
85,85,5,4,3,0,3
86,86,14,4,3,0,0
87,87,13,4,3,1,0
88,88,28,2,1,2,0
89,89,10,2,4,1,4
90,90,8,4,4,0,0
91,91,0,3,5,0,0
92,92,40,1,4,5,0
93,93,10,1,0,4,0
94,94,25,3,0,0,0
95,95,11,3,3,1,0
96,96,9,3,2,4,4
97,97,42,3,1,3,0
98,98,20,3,0,2,0
99,99,42,2,1,4,0
100,100,35,4,4,1,0
101,101,24,0,1,4,0
102,102,14,5,0,0,0
103,103,22,3,0,4,0
104,104,15,4,2,1,0
105,105,27,3,1,2,0
106,106,20,3,3,2,1
107,107,10,4,2,1,4
108,108,18,4,3,0,0
109,109,22,5,0,0,0
110,110,6,5,1,0,0
111,111,24,2,1,5,0
112,112,26,1,1,3,0
113,113,21,4,2,1,0
114,114,13,5,5,2,0
115,115,13,0,0,5,0
116,116,18,2,0,2,3
117,117,31,5,3,2,0
118,118,7,5,1,0,0
119,119,14,3,4,1,3
120,120,23,1,2,4,0
121,121,13,3,0,0,5
122,122,13,3,5,1,4
123,123,19,2,4,0,0
124,124,8,4,2,0,0
125,125,40,0,4,3,0
126,126,48,2,2,5,0
127,127,26,4,3,1,0
128,128,17,1,3,5,0
129,129,19,2,2,2,0
130,130,12,4,2,0,5
131,131,19,5,0,0,0
132,132,5,4,0,2,5
133,133,48,5,0,4,0
134,134,15,5,1,0,5
135,135,18,1,4,1,3
136,136,5,3,3,0,0
137,137,28,1,2,4,0
138,138,17,3,3,2,0
139,139,10,5,1,0,0
140,140,27,3,0,2,0
141,141,5,4,0,0,0
142,142,18,4,3,0,0
143,143,14,3,3,1,0
144,144,15,4,2,1,0
145,145,17,2,4,2,0
146,146,4,5,3,0,0
147,147,26,3,1,0,0
148,148,15,3,4,2,0
149,149,17,3,3,2,3
150,150,20,0,0,5,0
151,151,26,4,2,3,0
152,152,26,3,3,0,0
153,153,18,2,4,3,0
154,154,12,2,4,1,0
155,155,30,3,4,2,0
156,156,28,3,3,4,0
157,157,26,4,3,3,0
158,158,32,1,0,5,0
159,159,16,0,2,3,0
160,160,0,5,4,0,0
161,161,0,4,4,0,3
162,162,0,5,4,0,2
163,163,15,4,2,1,0
164,164,3,4,4,0,0
165,165,5,5,2,0,0
166,166,25,3,3,1,0
167,167,14,4,4,2,0
168,168,0,5,1,0,0
169,169,7,4,3,0,0
170,170,25,3,3,2,0
171,171,25,5,2,1,0
172,172,10,5,3,1,0
173,173,5,4,3,1,0
174,174,28,5,3,2,5
175,175,28,4,3,2,5
176,176,20,4,0,1,0
177,177,38,5,0,1,0
178,178,30,4,4,0,0
179,179,18,5,3,0,5
180,180,35,3,0,3,0
181,181,14,2,5,1,5
182,182,10,3,3,0,0
183,183,0,5,4,0,0
184,184,10,4,4,0,0
185,185,13,3,0,4,5
186,186,8,4,1,0,5
187,187,35,3,5,1,0
188,188,17,4,0,1,4
189,189,5,2,4,0,5
190,190,15,2,4,2,0
191,191,31,0,1,5,0
192,192,33,4,3,2,0
193,193,32,4,5,4,0
194,194,12,1,0,3,0
195,195,19,4,5,2,0
196,196,6,2,5,4,0
197,197,11,4,4,2,3
198,198,12,3,5,1,4
199,199,26,4,4,2,0
200,200,14,2,4,3,4
201,201,13,3,4,1,5
202,202,0,4,5,0,3
203,203,0,4,5,0,0
204,204,0,4,4,0,5
205,205,21,5,2,2,0
206,206,20,3,1,2,3
207,207,17,3,4,2,2
208,208,5,3,3,1,2
209,209,7,4,3,1,0
210,210,14,3,1,4,4
211,211,18,3,5,2,0
212,212,30,2,5,3,0
213,213,15,5,4,2,0
214,214,20,1,5,3,4
215,215,20,4,5,2,0
216,216,5,3,0,2,5
217,217,13,3,3,1,0
218,218,8,4,3,1,0
219,219,0,4,4,0,0
